Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Netherlands,Eredivisie,25/03/00,Vitesse,Heerenveen,3.0,1.0,H,2.0,1.0,H,,,,,,,,,,,
Netherlands,Eredivisie,26/03/00,Ajax,Nijmegen,5.0,2.0,H,1.0,2.0,A,,,,,,,,,,,
Netherlands,Eredivisie,26/03/00,Feyenoord,Sparta,1.0,2.0,A,1.0,1.0,D,,,,,,,,,,,
Netherlands,Eredivisie,26/03/00,Twente,Utrecht,4.0,2.0,H,0.0,1.0,A,,,,,,,,,,,
Netherlands,Eredivisie,31/03/00,Den Bosch,Willem II,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,
Netherlands,Eredivisie,31/03/00,Heerenveen,Nijmegen,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
Netherlands,Eredivisie,31/03/00,Roda JC,Ajax,3.0,0.0,H,2.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,01/04/00,Graafschap,For Sittard,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,01/04/00,MVV Maastricht,Vitesse,0.0,2.0,A,0.0,2.0,A,,,,,,,,,,,
Netherlands,Eredivisie,01/04/00,PSV Eindhoven,AZ Alkmaar,5.0,1.0,H,3.0,1.0,H,,,,,,,,,,,
Netherlands,Eredivisie,02/04/00,Sparta,Twente,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,02/04/00,Utrecht,Cambuur,1.0,2.0,A,0.0,0.0,D,,,,,,,,,,,
Netherlands,Eredivisie,02/04/00,Waalwijk,Feyenoord,2.0,2.0,D,0.0,1.0,A,,,,,,,,,,,
Netherlands,Eredivisie,07/04/00,AZ Alkmaar,Graafschap,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
Netherlands,Eredivisie,07/04/00,For Sittard,PSV Eindhoven,0.0,4.0,A,0.0,2.0,A,,,,,,,,,,,
Netherlands,Eredivisie,07/04/00,Nijmegen,Roda JC,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
Netherlands,Eredivisie,08/04/00,Cambuur,Den Bosch,1.0,2.0,A,1.0,2.0,A,,,,,,,,,,,
Netherlands,Eredivisie,08/04/00,Twente,MVV Maastricht,1.0,2.0,A,0.0,0.0,D,,,,,,,,,,,
Netherlands,Eredivisie,08/04/00,Willem II,Vitesse,0.0,4.0,A,0.0,0.0,D,,,,,,,,,,,
Netherlands,Eredivisie,09/04/00,Ajax,Sparta,3.0,2.0,H,1.0,1.0,D,,,,,,,,,,,
Netherlands,Eredivisie,09/04/00,Feyenoord,Utrecht,1.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
Netherlands,Eredivisie,09/04/00,Waalwijk,Heerenveen,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,
Netherlands,Eredivisie,14/04/00,Utrecht,Sparta,3.0,1.0,H,0.0,0.0,D,,,,,,,,,,,
Netherlands,Eredivisie,15/04/00,Heerenveen,For Sittard,3.0,0.0,H,2.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,15/04/00,MVV Maastricht,Waalwijk,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,
Netherlands,Eredivisie,15/04/00,Roda JC,Willem II,3.0,4.0,A,2.0,1.0,H,,,,,,,,,,,
Netherlands,Eredivisie,15/04/00,Vitesse,Twente,4.0,1.0,H,1.0,1.0,D,,,,,,,,,,,
Netherlands,Eredivisie,16/04/00,Ajax,AZ Alkmaar,4.0,1.0,H,1.0,1.0,D,,,,,,,,,,,
Netherlands,Eredivisie,16/04/00,Den Bosch,Nijmegen,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,
Netherlands,Eredivisie,16/04/00,Graafschap,Feyenoord,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,
Netherlands,Eredivisie,16/04/00,PSV Eindhoven,Cambuur,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
Netherlands,Eredivisie,19/04/00,Den Bosch,Ajax,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,21/04/00,AZ Alkmaar,MVV Maastricht,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,21/04/00,For Sittard,Utrecht,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,21/04/00,Twente,PSV Eindhoven,1.0,3.0,A,1.0,2.0,A,,,,,,,,,,,
Netherlands,Eredivisie,22/04/00,Heerenveen,Roda JC,5.0,1.0,H,1.0,1.0,D,,,,,,,,,,,
Netherlands,Eredivisie,22/04/00,Sparta,Cambuur,1.0,2.0,A,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,22/04/00,Willem II,Graafschap,5.0,3.0,H,3.0,1.0,H,,,,,,,,,,,
Netherlands,Eredivisie,23/04/00,Feyenoord,Ajax,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,
Netherlands,Eredivisie,23/04/00,Nijmegen,Vitesse,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
Netherlands,Eredivisie,23/04/00,Waalwijk,Den Bosch,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,28/04/00,Roda JC,Twente,3.0,2.0,H,0.0,1.0,A,,,,,,,,,,,
Netherlands,Eredivisie,30/04/00,Cambuur,Heerenveen,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,
Netherlands,Eredivisie,30/04/00,Den Bosch,For Sittard,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
Netherlands,Eredivisie,30/04/00,Feyenoord,AZ Alkmaar,5.0,3.0,H,1.0,2.0,A,,,,,,,,,,,
Netherlands,Eredivisie,30/04/00,Graafschap,Sparta,2.0,3.0,A,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,30/04/00,MVV Maastricht,Nijmegen,2.0,0.0,H,2.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,30/04/00,PSV Eindhoven,Waalwijk,7.0,1.0,H,3.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,30/04/00,Utrecht,Willem II,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,
Netherlands,Eredivisie,30/04/00,Vitesse,Ajax,3.0,0.0,H,3.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,07/05/00,Ajax,MVV Maastricht,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
Netherlands,Eredivisie,07/05/00,AZ Alkmaar,Vitesse,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,
Netherlands,Eredivisie,07/05/00,For Sittard,Roda JC,1.0,2.0,A,1.0,2.0,A,,,,,,,,,,,
Netherlands,Eredivisie,07/05/00,Heerenveen,Den Bosch,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,
Netherlands,Eredivisie,07/05/00,Nijmegen,Feyenoord,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
Netherlands,Eredivisie,07/05/00,Sparta,PSV Eindhoven,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,
Netherlands,Eredivisie,07/05/00,Twente,Graafschap,4.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,07/05/00,Waalwijk,Utrecht,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,07/05/00,Willem II,Cambuur,1.0,4.0,A,1.0,1.0,D,,,,,,,,,,,
Netherlands,Eredivisie,14/05/00,Cambuur,Waalwijk,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,
Netherlands,Eredivisie,14/05/00,Den Bosch,Sparta,7.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,14/05/00,Feyenoord,Twente,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,14/05/00,Graafschap,Heerenveen,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,
Netherlands,Eredivisie,14/05/00,MVV Maastricht,Willem II,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,
Netherlands,Eredivisie,14/05/00,PSV Eindhoven,Nijmegen,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,14/05/00,Roda JC,AZ Alkmaar,3.0,2.0,H,1.0,1.0,D,,,,,,,,,,,
Netherlands,Eredivisie,14/05/00,Utrecht,Ajax,3.0,1.0,H,2.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,14/05/00,Vitesse,For Sittard,2.0,2.0,D,1.0,1.0,D,,,,,,,,,,,
Netherlands,Eredivisie,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,,,,,,,,,,,,,,,,,,,,
