Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Netherlands,Eredivisie,02/11/96,Nijmegen,Sparta,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,02/11/96,Roda JC,Graafschap,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,03/11/96,Groningen,Feyenoord,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,03/11/96,Twente,PSV Eindhoven,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,03/11/96,Utrecht,NAC Breda,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,03/11/96,Volendam,Waalwijk,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,03/11/96,Willem II,Ajax,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,05/11/96,Sparta,AZ Alkmaar,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,06/11/96,Utrecht,Volendam,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,12/11/96,Feyenoord,NAC Breda,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,12/11/96,Heerenveen,Graafschap,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,13/11/96,Ajax,For Sittard,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,13/11/96,Roda JC,Nijmegen,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,13/11/96,Twente,Willem II,5.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,13/11/96,Vitesse,Waalwijk,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,14/11/96,PSV Eindhoven,Sparta,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,15/11/96,Heerenveen,Feyenoord,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,16/11/96,AZ Alkmaar,Waalwijk,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,16/11/96,For Sittard,Twente,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,16/11/96,Graafschap,Volendam,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,16/11/96,Utrecht,Roda JC,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,17/11/96,NAC Breda,Ajax,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,17/11/96,Nijmegen,Vitesse,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,17/11/96,Sparta,Groningen,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,17/11/96,Willem II,PSV Eindhoven,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,21/11/96,Graafschap,Groningen,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,21/11/96,Twente,Heerenveen,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,23/11/96,Sparta,Willem II,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,24/11/96,AZ Alkmaar,PSV Eindhoven,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,24/11/96,Feyenoord,Ajax,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,24/11/96,Groningen,Vitesse,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,24/11/96,Nijmegen,Twente,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,24/11/96,Utrecht,Graafschap,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,24/11/96,Volendam,NAC Breda,4.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
